x,y
0,1.50968432426453
1,1.79865658283234
2,1.8937166929245
3,2.1137273311615
4,1.58800303936005
5,1.85748243331909
6,1.84279072284698
7,1.83483862876892
8,1.34908080101013
9,2.12738108634949
10,1.73614084720612
11,2.20694231987
12,1.88836085796356
13,1.70956313610077
14,2.11329007148743
15,1.75388550758362
16,1.82162427902222
17,1.86041760444641
18,1.75639247894287
19,1.87191939353943
20,1.90993237495422
21,1.94688129425049
22,2.20917630195618
23,1.97673726081848
24,1.85422503948212
25,1.76223123073578
26,1.96715915203094
27,1.53234398365021
28,1.79217910766602
29,2.02046847343445
30,1.90711236000061
31,1.95438635349274
32,1.72579252719879
33,1.67308247089386
34,2.79960632324219
35,2.05275988578796
36,2.40053844451904
37,1.90419280529022
38,2.08032608032227
39,1.87874257564545
40,1.86902451515198
41,2.19154691696167
42,1.88990020751953
43,2.15687656402588
44,2.28489136695862
45,2.26497483253479
46,1.76338946819305
47,1.86797261238098
48,1.82266068458557
49,1.87689709663391
50,2.02767610549927
51,1.96787714958191
52,2.14305949211121
53,2.0184440612793
54,2.05058622360229
55,1.76716256141663
56,1.59589958190918
57,2.01802325248718
58,2.31796765327454
59,2.45998024940491
60,1.96581757068634
61,1.83892917633057
62,1.97251725196838
63,2.04367566108704
64,2.12470364570618
65,1.98038053512573
66,2.28266716003418
67,1.92311155796051
68,2.07498264312744
69,2.09507870674133
70,2.06091070175171
71,2.48533391952515
72,2.02431726455688
73,2.25960612297058
74,2.02981901168823
75,2.01636552810669
76,2.23705267906189
77,2.1641960144043
78,2.37479948997498
79,2.19875836372375
80,2.12868738174438
81,1.99492120742798
82,2.47738933563232
83,2.073575258255
84,1.95925414562225
85,2.28560996055603
86,2.07980108261108
87,2.05548930168152
88,2.28754234313965
89,2.24304389953613
90,2.26058173179626
91,1.95142042636871
92,2.54393553733826
93,2.1048698425293
94,2.18903732299805
95,2.35732579231262
96,2.24002242088318
97,2.48933839797974
98,2.32722616195679
99,2.90697860717773
100,2.52176189422607
101,2.40144777297974
102,2.33881211280823
103,2.34554171562195
104,2.56234836578369
105,2.43621563911438
106,2.73629641532898
107,2.48928475379944
108,2.34872341156006
109,2.57693886756897
110,2.23937392234802
111,2.97050476074219
112,2.69286108016968
113,2.43372988700867
114,2.55265331268311
115,2.84038162231445
116,2.48891615867615
117,2.51631569862366
118,2.72439384460449
119,2.9002058506012
120,2.84671640396118
121,2.61969995498657
122,2.74105477333069
123,2.81736993789673
124,3.0057418346405
125,2.6891303062439
126,2.87419271469116
